,words,meaning
0,Time,"The indefinite continued progress of existence and events in the past, present, and future."
1,Year,"The time taken by the Earth to make one revolution around the sun, approximately 365.25 days."
2,People,"Human beings in general, considered collectively."
3,Way,"A method, style, or manner of doing something; a route or path."
4,Day,"A period of 24 hours, starting and ending at midnight."
5,Man,An adult human male.
6,Thing,An inanimate material object as distinct from a living sentient being.
7,Woman,An adult human female.
8,Life,"The condition that distinguishes living organisms from inanimate matter, marked by the ability to grow, reproduce, and undergo metabolism."
9,Child,A young human being below the age of puberty or below the legal age of majority.
10,World,"The Earth, together with all of its countries, peoples, and natural features."
11,School,An institution for educating children or young people.
12,State,A nation or territory considered as an organized political community under one government.
13,Family,A group consisting of parents and children living together in a household.
14,Student,A person who is studying at a school or college.
15,Group,"A number of people or things that are located, gathered, or classed together."
16,Country,"A nation with its own government, occupying a particular territory."
17,Problem,A matter or situation regarded as unwelcome or harmful and needing to be dealt with and overcome.
18,Hand,"The end part of a person's arm beyond the wrist, including the palm, fingers, and thumb."
19,Part,A piece or segment of something.
20,Place,A particular position or point in space.
21,Case,An instance of a particular situation; an example.
22,Week,A period of seven days.
23,Company,A commercial business.
24,System,A set of connected things or devices that operate together.
25,Program,A set of instructions for a computer.
26,Question,A sentence worded or expressed so as to elicit information.
27,Work,Activity involving mental or physical effort done to achieve a purpose or result.
28,Government,"The governing body of a nation, state, or community."
29,Number,A mathematical value or a figure.
30,Night,The period of darkness in each twenty-four hours.
31,Point,"A particular spot, place, or position in an area or on a map."
32,Home,The place where one lives.
33,Water,"A transparent, odorless, tasteless liquid essential for life."
34,Room,A space or area that can be occupied.
35,Mother,A female parent.
36,Area,"A region or part of a town, a country, or the world."
37,Money,A medium of exchange in the form of coins and banknotes.
38,Story,An account of imaginary or real people and events told for entertainment.
39,Fact,A thing that is known or proved to be true.
40,Month,Each of the twelve named periods into which a year is divided.
41,Lot,"A particular group, collection, or set of things."
42,Right,"In accordance with what is good, proper, or just."
43,Study,The devotion of time and attention to acquiring knowledge.
44,Book,A written or printed work consisting of pages glued or sewn together along one side and bound in covers.
45,Eye,Each of a pair of globular organs in the head through which people and vertebrate animals see.
46,Job,"A task or piece of work, especially one that is paid."
47,Word,A single distinct meaningful element of speech or writing.
48,Business,The practice of making one's living by engaging in commerce.
49,Issue,An important topic or problem for debate or discussion.
50,Side,A position or attitude that is contrary to or opposite of one previously expressed or specified.
51,Kind,A group of people or things having similar characteristics.
52,Head,The upper part of the human body.
53,House,A building for human habitation.
54,Service,The action of helping or doing work for someone.
55,Friend,A person whom one knows and with whom one has a bond of mutual affection.
56,Father,A male parent.
57,Power,The ability or capacity to do something or act in a particular way.
58,Hour,A period of time equal to a twenty-fourth part of a day and night.
59,Game,"A form of play or sport, especially a competitive one."
60,Line,"A long, narrow mark or band."
61,End,"A final part of something, especially a period of time, an activity, or a story."
62,Member,A person or country belonging to a group or team.
63,Law,The system of rules recognized by a particular community.
64,Car,"A road vehicle, typically with four wheels, powered by an internal combustion engine."
65,City,A large town.
